public_model,public_brand,light_type,internal_model,internal_supplier,internal_product_id
IOO-LS-0089,IOO,line_scan_light,LSN6-00-300-1-X,private_supplier,482
IOO-LT-0177,IOO,illumination,LBRP-00-040-3-X,private_supplier,483
IOO-LT-0178,IOO,illumination,LBRP-00-080-3-X,private_supplier,484
IOO-LT-0179,IOO,illumination,BHP1010-X-X,private_supplier,485
IOO-LT-0180,IOO,illumination,BHP1515-X-X,private_supplier,486
IOO-LT-0181,IOO,illumination,BHP1520-X-X,private_supplier,487
IOO-LT-0182,IOO,illumination,HPDP-00-070-1-X,private_supplier,488
IOO-LT-0183,IOO,illumination,HPDP-00-110-2-X,private_supplier,489
IOO-SP-0001,IOO,spot_light,HBFS2-00-08-1-X,private_supplier,490
IOO-SP-0002,IOO,spot_light,HBFS2-00-08-1-W,private_supplier,491
IOO-SP-0003,IOO,spot_light,HBFS2-00-08-1-X-5V,private_supplier,492
IOO-SP-0004,IOO,spot_light,HBFS2-00-08-1-W-24V,private_supplier,493
IOO-SP-0005,IOO,spot_light,HBF2-00-08-1-X-5V,private_supplier,494
IOO-SP-0006,IOO,spot_light,HBF2-00-08-1-W-24V,private_supplier,495
IOO-SP-0007,IOO,spot_light,HBF2-00-16-1-X,private_supplier,496
IOO-SP-0008,IOO,spot_light,HBF2-00-16-1-W,private_supplier,497
IOO-SP-0009,IOO,spot_light,HBF2-00-16-1-X-5V,private_supplier,498
IOO-SP-0010,IOO,spot_light,HBF2-00-16-1-W-24V,private_supplier,499
IOO-SP-0011,IOO,spot_light,HBFS-00-08-1-X,private_supplier,500
IOO-SP-0012,IOO,spot_light,HBFS-00-08-1-W,private_supplier,501
IOO-SP-0013,IOO,spot_light,HBFS-00-08-1-X-5V,private_supplier,502
IOO-SP-0014,IOO,spot_light,HBFS-00-08-1-W-24V,private_supplier,503
IOO-SP-0015,IOO,spot_light,HBF-00-16-1-X,private_supplier,504
IOO-SP-0016,IOO,spot_light,HBF-00-16-1-W,private_supplier,505
IOO-SP-0017,IOO,spot_light,HBF-00-16-1-X-5V,private_supplier,506
IOO-SP-0018,IOO,spot_light,HBF-00-16-1-W-24V,private_supplier,507
IOO-SP-0019,IOO,spot_light,HBF-00-08-1-X-5V,private_supplier,508
IOO-SP-0020,IOO,spot_light,HBF-00-08-1-W-24V,private_supplier,509
