severity,issue_type,model,family_name,detail,source_url
medium,low_core_field_coverage,PM2-040,MODULAR ILLUMINATION - PM2-040,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/modular-illumination-pm2-040
medium,low_core_field_coverage,STARTER-V1,PTS4-STARTER-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/pts3-starter-v1
medium,low_core_field_coverage,STATION-OPTO-EBD-01,TME-STATION-OPTO-EBD-01,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/tme-station-opto-ebd-01
medium,low_core_field_coverage,Lens 2D-TCEL150,TME-STATION-OPTO-LIQUID LENS-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/tme-station-opto-liquid-lens-v1
medium,low_core_field_coverage,CAS2,RGBW ILLUMINATION - CAS2,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-cas2
medium,low_core_field_coverage,DLF3,RGBW ILLUMINATION - DLF3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-dlf3
medium,low_core_field_coverage,DLR3,RGBW ILLUMINATION - DLR3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-dlr3
medium,low_core_field_coverage,HPD2,RGBW ILLUMINATION - HPD2,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-hpd2
medium,low_core_field_coverage,IDS5,RGBW ILLUMINATION - IDS5,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-ids5
medium,low_core_field_coverage,LSW2,RGBW ILLUMINATION - LSW2,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-lsw2
medium,low_core_field_coverage,MD-IDQ3,RGBW ILLUMINATION - MD-IDQ3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-md-idq3
medium,low_core_field_coverage,MD-IDT3,RGBW ILLUMINATION - MD-IDT3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-md-idt3
medium,low_core_field_coverage,LBRQ-1,UV ILLUMINATION - LBRQ 1 ROW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lbrq-1-row
medium,low_core_field_coverage,LBRX-1,UV ILLUMINATION - LBRX 1 ROW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lbrx-1-row
medium,low_core_field_coverage,DXX,DIFFUSED SQUARE ILLUMINATION - F - DXX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/diffused-square-illumination-dla
medium,low_core_field_coverage,IDDC,HALF CIRCLE ILLUMINATION - IDDC,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/half-circle-illumination-iddc
medium,low_core_field_coverage,LLAC,HALF CIRCLE ILLUMINATION - LLAC,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/half-circle-illumination-llac
medium,low_core_field_coverage,LSWC,HALF CIRCLE ILLUMINATION - LSWC,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/half-circle-illumination-lswc
